DEPTH,CALI,CGR,DRHO,DT,GR,LLD,LLS,MSFL,NPHI,PEF,RHOB
3501.0852,210.9303,41.4286,34.0954,242.9269,40.9292,1.076,1.2112,1906.8191,0.171858,7.208,2501.5254
3501.2376,210.7476,42.082,21.9904,-999.25,42.7135,1.014,1.1389,1922.4115,0.18903,5.4622,2477.8503
3501.39,210.7406,44.0056,20.0701,-999.25,43.3626,0.9656,1.0763,1908.004,0.205933,5.4205,2460.8159
3501.5424,210.2635,44.7215,24.0659,251.3197,43.2622,0.9208,1.0182,1906.072,0.214792,6.056,-999.25
3501.6948,210.5746,46.0083,25.8629,258.9207,39.9513,0.8811,0.9738,1906.072,0.216176,6.7285,-999.25
3501.8472,211.6324,43.1329,25.8225,262.9572,36.0394,0.8491,0.9546,1906.072,0.212138,5.5979,2430.968
3501.9996,213.3503,35.8995,30.6076,264.1464,32.9199,0.8231,0.9489,1906.072,0.206902,4.2227,2437.5332
3502.152,214.4072,31.6535,35.3931,265.8446,30.3128,0.804,0.9394,1906.072,0.202555,3.3628,2443.4888
3502.3044,215.1387,31.4123,37.1461,267.2587,28.3498,0.7977,0.9239,1906.072,0.200155,2.9453,2446.064
3502.4568,216.0985,30.748,38.2547,266.2405,27.0344,0.8055,0.9161,1906.072,0.200229,2.8501,2448.1577
3502.6092,216.191,30.0111,38.1234,264.0531,26.482,0.8221,0.9275,1906.072,0.201126,2.691,2453.8972
3502.7616,216.4953,29.7481,39.756,262.6948,28.5544,0.845,0.9499,1916.4806,0.200013,2.6004,2462.0281
3502.914,216.4003,29.3089,45.8686,262.2962,29.7361,0.8603,0.9732,1975.8268,0.196521,2.5568,2468.1128
3503.0664,215.1211,27.9919,39.6879,264.4112,32.2829,0.8583,1.0028,1999.7128,0.190276,2.5834,2475.093
3503.2188,215.6446,28.4644,37.8173,263.8423,31.7897,0.8391,1.0223,1999.99,0.184724,2.5714,2478.6719
3503.3712,216.8468,27.5231,34.7431,261.0745,30.9485,0.8114,0.9967,1999.99,0.179651,2.6238,2471.2361
3503.5236,218.126,27.4623,33.7291,256.8304,30.0126,0.7812,0.9381,1999.99,0.17776,2.5291,2456.0449
3503.676,218.217,25.6876,25.327,254.9259,29.1295,0.7537,0.8788,1995.9252,0.179995,2.472,2440.0417
3503.8284,216.0091,22.7756,21.6519,253.8313,28.8941,0.7375,0.8291,1997.4143,0.18658,2.4346,2425.637
3503.9808,213.6212,20.4965,22.7186,253.6077,28.4005,0.7295,0.797,1999.99,0.195124,2.4131,2417.1516
3504.1332,211.9,20.2393,23.0497,256.1195,26.4145,0.7287,0.7872,1994.5626,0.202818,2.4114,2420.8188
3504.2856,210.7406,20.7802,21.2739,260.2909,23.754,0.7484,0.8,1991.3307,0.207569,2.4183,2439.1499
3504.438,211.3625,19.9874,19.3128,262.4672,22.4473,0.7985,0.84,1987.5304,0.208007,2.4666,2466.0933
3504.5904,213.5864,19.2657,21.3901,262.4672,22.3707,0.8636,0.9074,1942.9783,0.205105,2.5945,2492.3154
3504.7428,213.8443,20.1063,21.8463,262.7031,23.9382,0.9242,0.9888,1925.483,0.199595,2.7552,2511.8726
3504.8952,213.7605,21.2184,22.0207,262.9801,25.7913,0.9841,1.0727,1912.6901,0.193633,2.9216,2530.2717
3505.0476,213.7574,22.7116,21.5412,262.0609,26.9461,1.0594,1.1793,1907.2836,0.184731,3.0694,2534.8145
3505.2,213.8406,24.6134,20.3609,259.8598,27.3523,1.1513,1.3103,1909.7936,0.172677,3.197,2524.5066
3505.3524,213.9156,26.1459,19.2605,257.4812,27.5342,1.247,1.4464,1913.3175,0.160347,3.3333,2513.9324
3505.5048,213.9156,24.2729,18.898,253.4654,25.6481,1.3776,1.6301,1926.1915,0.145455,3.5486,2500.9009
3505.6572,213.9156,22.3998,18.5354,249.4496,23.762,1.5082,1.8137,1939.0656,0.130563,3.7639,2487.8691
3505.8096,212.9393,21.0741,22.3147,245.6356,22.0824,1.69,2.0296,1924.5386,0.12168,3.9185,2492.9841
3505.962,211.5992,19.9523,27.637,241.8968,20.4799,1.8909,2.2574,1899.803,0.115035,4.0504,2504.8594
3506.1144,210.7406,18.6991,33.4532,236.9791,20.3498,2.2286,2.5766,1868.0533,0.120507,4.2954,2519.0784
3506.2668,210.6957,17.873,40.0107,230.3894,23.8023,2.8509,3.0844,1832.0848,0.151556,4.742,2536.9543
3506.4192,210.4804,31.3629,40.1915,233.6996,44.6251,4.1148,4.0214,1906.072,0.239181,5.0684,2544.6394
3506.5716,210.7406,48.9818,32.3192,250.1362,52.0056,4.5781,4.5038,1884.9122,0.237282,5.144,2547.3889
3506.724,211.6966,38.8697,23.3033,259.3851,38.1524,4.1039,4.0315,1820.579,0.205418,4.4013,2542.9922
3506.8764,213.6449,32.5334,28.23,258.385,45.2456,3.7685,3.5076,1820.579,0.266023,3.9962,2534.0513
3507.0288,210.9391,54.6123,29.9847,255.1305,74.6791,3.6224,3.4165,1820.579,0.352971,5.5624,2527.498
3507.1812,211.5314,83.3515,34.5678,266.6847,97.6869,3.5187,3.4049,1820.579,0.395775,7.1724,2530.6233
3507.3336,210.5366,84.9741,25.4416,275.8632,104.1862,3.4956,3.4122,1820.579,0.405837,6.0022,2543.0359
3507.486,210.7406,83.9935,18.7023,279.7975,100.5225,3.6009,3.5428,1820.579,0.41265,5.0007,2539.4839
3507.6384,210.5881,85.3321,25.5088,282.2024,98.4444,3.7108,3.8194,1820.579,0.38496,4.6938,2538.5122
3507.7908,210.5268,75.8834,43.5288,280.8408,91.809,3.7691,3.9914,1820.579,0.345248,4.825,2546.1558
3507.9432,209.7638,66.5648,46.7667,276.5555,85.0379,3.8045,4.0108,1820.579,0.318416,6.0436,2541.0854
3508.0956,208.9287,65.5309,49.6997,271.5364,79.7485,3.8452,3.9394,1820.579,0.317256,7.6845,2519.0527
3508.248,210.7406,65.1171,55.0929,267.9498,81.7782,3.9023,3.8734,1820.579,0.344867,7.9317,2496.425
3508.4004,210.7406,68.9099,54.4561,270.9415,89.2673,3.9806,3.8519,1820.579,0.381663,6.2828,2488.0928
3508.5528,210.7406,72.9602,33.2911,277.233,100.148,4.0751,3.852,1820.579,0.405428,4.7447,2484.6843
3508.7052,210.7406,76.4414,18.9218,282.6981,105.7005,4.2043,3.8927,1820.579,0.406898,4.1423,2482.8372
3508.8576,210.6755,76.7293,23.7404,292.7484,110.5449,4.5701,4.1602,1820.579,0.418512,3.7669,2478.3884
3509.01,210.4818,76.6445,29.7337,297.2724,107.1964,5.2472,4.9057,1820.579,0.445351,3.6204,2466.8538
3509.1624,210.0925,70.5471,38.1,299.4495,92.6334,6.2989,6.4263,1820.579,0.418132,3.4748,2444.116
3509.3148,207.5117,52.5573,46.2116,292.9384,61.8401,8.0509,9.1141,1820.579,0.309917,3.6009,2413.9473
3509.4672,209.9997,20.8051,41.8912,270.6047,30.8582,11.0738,13.2494,1820.579,0.197984,4.1044,2380.4995
3509.6196,210.7406,7.5021,30.5673,251.46,16.7971,17.0426,20.759,1820.579,0.164747,4.4607,2351.0032
